epoch,train_loss,valid_loss,valid_perplexity
1,6.446239396283363,5.96058066295726,387.83526043658696
2,5.601033685661038,5.639451629349163,281.30841489280823
3,5.123246634468445,5.446898578533104,232.0374030078261
4,4.745700148228899,5.266574611621244,193.7511515348058
5,4.384313359434305,5.1049513800867965,164.83605602207385
6,4.073453834251285,5.000229208064931,148.4471804944245
7,3.7973030570478645,4.927812044109617,138.07707505120285
8,3.5550683254861912,4.8414189123681615,126.64892802886507
9,3.318424024769445,4.805651348616395,122.19905929322248
10,3.1046533262612437,4.757633409329823,116.46996275467754
11,2.921210734536704,4.716533351689577,111.78007800547945
12,2.718249560712458,4.730859445141895,113.39297552396262
13,2.5595187077017587,4.6867664238171916,108.50176323010643
14,2.3949142386969835,4.680183719843626,107.78987389117286
15,2.243550165737896,4.739530672984464,114.3805072189251
16,2.0885415100651437,4.689808626792261,108.83235021839984
17,1.9300782984567557,4.688225723270859,108.66021538035888
18,1.7957281841922867,4.673728930630854,107.09635364734656
19,1.6700467568660071,4.688261566417558,108.6641101741995
20,1.5629001042965591,4.678372637501785,107.59483422369931
21,1.4458097645904096,4.687186684991632,108.54737189165392
22,1.3311489064132223,4.706001054495573,110.6089551365749
23,1.2310263723772754,4.669430682701724,106.63701485026878
24,1.1130365725884623,4.673031325851168,107.02166877244692
25,1.0255629176035859,4.72547991627029,112.78461255849692
26,0.9405481462674447,4.779758480510542,119.07558749649658
27,0.855789230299382,4.772907919117382,118.26264062446361
28,0.7692222464043257,4.84190470246332,126.71046777015208
29,0.7111109998131019,4.829903833035912,125.19892007577074
30,0.6521209647815444,4.868255937205894,130.0938271209827
31,0.600399240773837,4.932170183530876,138.6801473772632
32,0.5615162567950316,4.978476258793047,145.25288513826786
33,0.5009718184666939,4.983279132949455,145.95219446951742
34,0.4654993994722758,5.091605471181018,162.65078369214663
35,0.4332300324344166,5.008450561336109,149.67264780471643
