epoch,train_loss,valid_loss,valid_perplexity
1,6.13089367126272,5.552391383019903,257.85344554955935
2,5.3867605493924176,5.204760912916799,182.1373208818498
3,4.984771993539483,5.023399622420446,151.92692101246723
4,4.621661549284779,4.869415652055706,130.24478638209303
5,4.298116721001565,4.720122755639459,112.18202279855579
6,3.997889876218671,4.589873266163258,98.48194837586325
7,3.7195078213176656,4.495688624831008,89.62986909205112
8,3.483392331000468,4.409203975504715,82.20400105435189
9,3.285595734081198,4.355957185270107,77.94139399738887
10,3.0695060209340146,4.322328964206118,75.3639439887698
11,2.8635225298960316,4.274047279244242,71.81169022062336
12,2.698004863118126,4.230907123620234,68.7795954796059
13,2.5206452631627,4.180551827309101,65.40193383111541
14,2.3662467266716587,4.266332845153626,71.25983503157619
15,2.2059310091115103,4.159956006242209,64.06870391489278
16,2.0671976612175733,4.187163700221975,65.83579584552405
17,1.8983557931297952,4.224579780974178,68.34577731736304
18,1.7654063400666604,4.144394566532539,63.07941994659718
19,1.6274088208096242,4.213888752588356,67.61898268562122
20,1.4923138945155607,4.169266097167678,64.66797467784741
21,1.3754379640157655,4.19968618681661,66.6654072743412
22,1.2438942875285919,4.186602750466748,65.79887562812094
23,1.1402367668366462,4.247400261079881,69.92339328124032
24,1.03988408886181,4.3069612692877275,74.21462767993823
25,0.9608840907840047,4.308157187110619,74.30343536866427
26,0.8532134490007243,4.308464493598074,74.32627280525976
27,0.7782627090021655,4.221604428501607,68.14272676311218
28,0.695625006509474,4.313030265085177,74.66640547552595
29,0.6437242095773229,4.268968613980354,71.44790723188906
30,0.5667657263475928,4.413119946958339,82.5265406916865
31,0.5241352230236945,4.315170374473599,74.82637086154169
32,0.45197414919164414,4.38576120472068,80.29932417941144
33,0.43083652102476866,4.474507100533814,87.7513371611708
34,0.38790278563921315,4.474392173685249,87.74125275602906
35,0.3522344774276055,4.447708070207125,85.43091778314444
