epoch,train_loss,valid_loss,valid_accuracy,valid_top3_accuracy,valid_perplexity
1,3.008677451267102,2.7636318639822943,0.21711899791231734,0.4632567849686848,15.857330158464082
2,2.468548388887279,2.527759928792902,0.2730688935281837,0.5279749478079332,12.525416861757137
3,2.2492142859317528,2.409649325810793,0.30438413361169103,0.5588726513569937,11.13005743677297
4,2.081507849768509,2.2675960387466847,0.3613778705636743,0.5839248434237996,9.656159855934442
5,1.940156548682573,2.1956140273299245,0.37515657620041754,0.6173277661795407,8.98551671610048
