epoch,train_loss,valid_loss,valid_accuracy,valid_top3_accuracy,valid_perplexity
1,2.613620984329932,2.4385987606048585,0.3086333333333333,0.5379666666666667,11.456975524361079
2,2.1326581744956252,2.266004898071289,0.3484833333333333,0.5875333333333334,9.64080776412735
3,1.9281978042092796,2.202304401397705,0.3708,0.6076,9.045834734183897
4,1.7811201240367243,2.1712861366271974,0.39276666666666665,0.62855,8.769555637490003
5,1.6654153114280557,2.1966021804809572,0.3983,0.63395,8.994400171141347
