epoch,train_loss,valid_loss,valid_accuracy,valid_top3_accuracy,valid_perplexity
1,3.041502029558804,2.733841238539503,0.22261656228253304,0.47376478775226166,15.3918975606727
2,2.490701896858013,2.549157330288021,0.24022268615170494,0.5114126652748782,12.79631617004277
3,2.293246650037046,2.4389133781879084,0.27188587334725123,0.5421016005567154,11.460580657399001
4,2.142777432544072,2.3689815813912727,0.30842032011134307,0.5580375782881002,10.686503406403041
5,1.9968923345509042,2.2845305570232095,0.3473208072372999,0.5835768963117606,9.82107470713415
